Id,Pred
2016_1112_1114,0.5
2016_1112_1122,0.5
2016_1112_1124,0.5
2016_1112_1138,0.5
2016_1112_1139,0.5
2016_1112_1143,0.5
2016_1112_1151,0.5
2016_1112_1153,0.5
2016_1112_1160,0.5
2016_1112_1163,0.5
2016_1112_1167,0.5
2016_1112_1173,0.5
2016_1112_1181,0.5
2016_1112_1192,0.5
2016_1112_1195,0.5
2016_1112_1201,0.5
2016_1112_1211,0.5
2016_1112_1214,0.5
2016_1112_1218,0.5
2016_1112_1221,0.5
2016_1112_1231,0.5
2016_1112_1233,0.5
2016_1112_1234,0.5
2016_1112_1235,0.5
2016_1112_1242,0.5
2016_1112_1246,0.5
2016_1112_1268,0.5
2016_1112_1274,0.5
2016_1112_1276,0.5
2016_1112_1277,0.5
2016_1112_1292,0.5
2016_1112_1314,0.5
2016_1112_1320,0.5
2016_1112_1323,0.5
2016_1112_1328,0.5
2016_1112_1332,0.5
2016_1112_1333,0.5
2016_1112_1338,0.5
2016_1112_1344,0.5
2016_1112_1345,0.5
2016_1112_1355,0.5
2016_1112_1371,0.5
2016_1112_1372,0.5
2016_1112_1380,0.5
2016_1112_1386,0.5
2016_1112_1392,0.5
2016_1112_1393,0.5
2016_1112_1396,0.5
2016_1112_1400,0.5
2016_1112_1401,0.5
2016_1112_1403,0.5
2016_1112_1409,0.5
2016_1112_1421,0.5
2016_1112_1423,0.5
2016_1112_1425,0.5
2016_1112_1428,0.5
2016_1112_1433,0.5
2016_1112_1435,0.5
2016_1112_1437,0.5
2016_1112_1438,0.5
2016_1112_1451,0.5
2016_1112_1452,0.5
2016_1112_1453,0.5
2016_1112_1455,0.5
2016_1112_1458,0.5
2016_1112_1462,0.5
2016_1112_1463,0.5
2016_1114_1122,0.5
2016_1114_1124,0.5
2016_1114_1138,0.5
2016_1114_1139,0.5
2016_1114_1143,0.5
2016_1114_1151,0.5
2016_1114_1153,0.5
2016_1114_1160,0.5
2016_1114_1163,0.5
2016_1114_1167,0.5
2016_1114_1173,0.5
2016_1114_1181,0.5
2016_1114_1192,0.5
2016_1114_1195,0.5
2016_1114_1201,0.5
2016_1114_1211,0.5
2016_1114_1214,0.5
2016_1114_1218,0.5
2016_1114_1221,0.5
2016_1114_1231,0.5
2016_1114_1233,0.5
2016_1114_1234,0.5
2016_1114_1235,0.5
2016_1114_1242,0.5
2016_1114_1246,0.5
2016_1114_1268,0.5
2016_1114_1274,0.5
2016_1114_1276,0.5
2016_1114_1277,0.5
2016_1114_1292,0.5
2016_1114_1314,0.5
2016_1114_1320,0.5
2016_1114_1323,0.5
2016_1114_1328,0.5
2016_1114_1332,0.5
2016_1114_1333,0.5
2016_1114_1338,0.5
2016_1114_1344,0.5
2016_1114_1345,0.5
2016_1114_1355,0.5
2016_1114_1371,0.5
2016_1114_1372,0.5
2016_1114_1380,0.5
2016_1114_1386,0.5
2016_1114_1392,0.5
2016_1114_1393,0.5
2016_1114_1396,0.5
2016_1114_1400,0.5
2016_1114_1401,0.5
2016_1114_1403,0.5
2016_1114_1409,0.5
2016_1114_1421,0.5
2016_1114_1423,0.5
2016_1114_1425,0.5
2016_1114_1428,0.5
2016_1114_1433,0.5
2016_1114_1435,0.5
2016_1114_1437,0.5
2016_1114_1438,0.5
2016_1114_1451,0.5
2016_1114_1452,0.5
2016_1114_1453,0.5
2016_1114_1455,0.5
2016_1114_1458,0.5
2016_1114_1462,0.5
2016_1114_1463,0.5
2016_1122_1124,0.5
2016_1122_1138,0.5
2016_1122_1139,0.5
2016_1122_1143,0.5
2016_1122_1151,0.5
2016_1122_1153,0.5
2016_1122_1160,0.5
2016_1122_1163,0.5
2016_1122_1167,0.5
2016_1122_1173,0.5
2016_1122_1181,0.5
2016_1122_1192,0.5
2016_1122_1195,0.5
2016_1122_1201,0.5
2016_1122_1211,0.5
2016_1122_1214,0.5
2016_1122_1218,0.5
2016_1122_1221,0.5
2016_1122_1231,0.5
2016_1122_1233,0.5
2016_1122_1234,0.5
2016_1122_1235,0.5
2016_1122_1242,0.5
2016_1122_1246,0.5
2016_1122_1268,0.5
2016_1122_1274,0.5
2016_1122_1276,0.5
2016_1122_1277,0.5
2016_1122_1292,0.5
2016_1122_1314,0.5
2016_1122_1320,0.5
2016_1122_1323,0.5
2016_1122_1328,0.5
2016_1122_1332,0.5
2016_1122_1333,0.5
2016_1122_1338,0.5
2016_1122_1344,0.5
2016_1122_1345,0.5
2016_1122_1355,0.5
2016_1122_1371,0.5
2016_1122_1372,0.5
2016_1122_1380,0.5
2016_1122_1386,0.5
2016_1122_1392,0.5
2016_1122_1393,0.5
2016_1122_1396,0.5
2016_1122_1400,0.5
2016_1122_1401,0.5
2016_1122_1403,0.5
2016_1122_1409,0.5
2016_1122_1421,0.5
2016_1122_1423,0.5
2016_1122_1425,0.5
2016_1122_1428,0.5
2016_1122_1433,0.5
2016_1122_1435,0.5
2016_1122_1437,0.5
2016_1122_1438,0.5
2016_1122_1451,0.5
2016_1122_1452,0.5
2016_1122_1453,0.5
2016_1122_1455,0.5
2016_1122_1458,0.5
2016_1122_1462,0.5
2016_1122_1463,0.5
2016_1124_1138,0.5
2016_1124_1139,0.5
2016_1124_1143,0.5
2016_1124_1151,0.5
2016_1124_1153,0.5
2016_1124_1160,0.5
2016_1124_1163,0.5
2016_1124_1167,0.5
2016_1124_1173,0.5
2016_1124_1181,0.5
2016_1124_1192,0.5
2016_1124_1195,0.5
2016_1124_1201,0.5
2016_1124_1211,0.5
2016_1124_1214,0.5
2016_1124_1218,0.5
2016_1124_1221,0.5
2016_1124_1231,0.5
2016_1124_1233,0.5
2016_1124_1234,0.5
2016_1124_1235,0.5
2016_1124_1242,0.5
2016_1124_1246,0.5
2016_1124_1268,0.5
2016_1124_1274,0.5
2016_1124_1276,0.5
2016_1124_1277,0.5
2016_1124_1292,0.5
2016_1124_1314,0.5
2016_1124_1320,0.5
2016_1124_1323,0.5
2016_1124_1328,0.5
2016_1124_1332,0.5
2016_1124_1333,0.5
2016_1124_1338,0.5
2016_1124_1344,0.5
2016_1124_1345,0.5
2016_1124_1355,0.5
2016_1124_1371,0.5
2016_1124_1372,0.5
2016_1124_1380,0.5
2016_1124_1386,0.5
2016_1124_1392,0.5
2016_1124_1393,0.5
2016_1124_1396,0.5
